"","npoints"
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark HOME 2014.csv",12521
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark HOME 2018.csv",17598
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark HOME 2019.csv",4999
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark JIMS_SOUTH 2014.csv",39475
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark JOHNSON 2014.csv",38430
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark JOHNSON 2018.csv",36724
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark JOHNSON 2019.csv",12515
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark Larsons 2019.csv",9234
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark MARON 2014.csv",22262
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark MARON 2018.csv",26652
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark MARON 2019.csv",7165
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark Matters 2019.csv",12941
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark NE_01 2014.csv",33095
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark NE_01 2018.csv",20155
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark NE_01 2019.csv",10047
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark NW_35_15 2018.csv",5716
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark NW_35_15 2019.csv",1363
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark Pulyks 2019.csv",19774
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark SE_26 2018.csv",23561
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark SE_26 2019.csv",8964
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark SW_02 2014.csv",50930
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark SW_02 2019.csv",12484
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark SW_05 2014.csv",22235
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark SW_05 2018.csv",27309
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark SW_05 2019.csv",7970
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark Swannys 2019.csv",7345
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark TATES 2014.csv",118984
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark TATES 2018.csv",89965
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark TATES 2019.csv",35351
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark UNCS 2014.csv",3694
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark W_20 2014.csv",61538
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark W_20 2018.csv",64288
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark W_20 2019.csv",13849
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark W_34 2014.csv",90170
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark W_34 2018.csv",67516
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark W_34 2019.csv",23673
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark W_35 2014.csv",56538
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark W_35 2018.csv",62958
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark W_35 2019.csv",17756
